family,n,seed,panel,tau,w,accumulate,steps,triggers,subs,fallbacks,scanned,trigger_pct,sub_pct,fallback_pct,sub_success_given_trigger_pct,avg_scanned_per_step,max_mult,growth,residual,finite,time_s
uniform,256,1,32,1.05,8,fp32,256,96,93,3,157,37.5,36.328125,1.171875,96.875,0.61328125,0.9970703125,12.3203125,0.0012613361295516076,True,0.023359024984529242
uniform,256,1,32,1.05,12,fp32,256,96,93,3,161,37.5,36.328125,1.171875,96.875,0.62890625,0.9970703125,12.3203125,0.0012613361295516076,True,0.02335384499747306
uniform,256,1,32,1.1,6,fp32,256,172,150,22,394,67.1875,58.59375,8.59375,87.20930232558139,1.5390625,0.9970703125,9.2578125,0.0012449447263623219,True,0.017385565995937213
uniform,256,1,32,1.05,16,fp32,256,96,93,3,165,37.5,36.328125,1.171875,96.875,0.64453125,0.9970703125,12.3203125,0.0012613361295516076,True,0.02335243599372916
uniform,256,1,32,1.1,1,fp32,256,154,79,75,150,60.15625,30.859375,29.296875,51.298701298701296,0.5859375,1.0,10.4140625,0.0012263385267317138,True,0.027264834992820397
uniform,256,1,32,1.1,8,fp32,256,151,137,14,366,58.984375,53.515625,5.46875,90.72847682119205,1.4296875,0.99853515625,9.1796875,0.0012212964691909404,True,0.026173513004323468
uniform,256,1,32,1.1,12,fp32,256,169,157,12,420,66.015625,61.328125,4.6875,92.89940828402366,1.640625,0.9990234375,14.953125,0.0012724785768541591,True,0.026585615007206798
uniform,256,1,32,1.1,2,fp32,256,159,101,58,233,62.109375,39.453125,22.65625,63.522012578616355,0.91015625,0.99951171875,14.9921875,0.0012744831154301317,True,0.028769961005309597
uniform,256,1,32,1.2,1,fp32,256,220,55,165,214,85.9375,21.484375,64.453125,25.0,0.8359375,1.0,12.8671875,0.0013422461407344894,True,0.028329685010248795
uniform,256,1,32,1.1,4,fp32,256,152,118,34,322,59.375,46.09375,13.28125,77.63157894736842,1.2578125,0.99853515625,10.96875,0.0012426618810400766,True,0.030699977971380576
uniform,256,1,32,1.2,16,fp32,256,203,145,58,1126,79.296875,56.640625,22.65625,71.42857142857143,4.3984375,0.99755859375,9.7421875,0.0011887011718903764,True,0.02174244000343606
uniform,256,1,32,1.2,4,fp32,256,211,93,118,626,82.421875,36.328125,46.09375,44.07582938388626,2.4453125,0.99951171875,8.890625,0.0012223338236646676,True,0.027889844001038
uniform,256,1,32,1.1,16,fp32,256,150,138,12,369,58.59375,53.90625,4.6875,92.0,1.44140625,0.9970703125,9.9921875,0.0012471430876681954,True,0.032024580985307693
uniform,256,1,32,1.2,2,fp32,256,208,67,141,363,81.25,26.171875,55.078125,32.21153846153846,1.41796875,0.99951171875,11.6875,0.001274497879004024,True,0.03052320599090308
uniform,256,1,32,1.5,1,fp32,256,251,9,242,244,98.046875,3.515625,94.53125,3.585657370517928,0.953125,1.0,10.03125,0.0013039157235745708,True,0.023265277995960787
uniform,256,1,32,1.5,2,fp32,256,250,18,232,474,97.65625,7.03125,90.625,7.2,1.8515625,1.0,11.0,0.001280773890805967,True,0.02607328401063569
uniform,256,1,32,1.2,12,fp32,256,214,154,60,1065,83.59375,60.15625,23.4375,71.96261682242991,4.16015625,0.9970703125,11.6796875,0.0012285667580708719,True,0.032912463997490704
uniform,256,1,32,1.2,6,fp32,256,216,129,87,797,84.375,50.390625,33.984375,59.72222222222222,3.11328125,0.99853515625,8.921875,0.0011892100731979215,True,0.037270804023137316
uniform,256,1,32,1.5,4,fp32,256,250,18,232,899,97.65625,7.03125,90.625,7.2,3.51171875,0.99951171875,9.6328125,0.0012816037085098334,True,0.03095629799645394
uniform,256,1,32,1.5,12,fp32,256,243,33,210,2187,94.921875,12.890625,82.03125,13.580246913580247,8.54296875,0.9970703125,8.5390625,0.0012892836541089135,True,0.028877064993139356
uniform,256,2,32,1.001,2,fp32,256,1,1,0,1,0.390625,0.390625,0.0,100.0,0.00390625,0.99853515625,11.46875,0.0012827770973361516,True,0.021000761014875025
uniform,256,1,32,1.2,8,fp32,256,215,129,86,953,83.984375,50.390625,33.59375,60.0,3.72265625,0.99951171875,15.359375,0.0012640032554452995,True,0.040238301997305825
uniform,256,2,32,1.001,4,fp32,256,1,1,0,1,0.390625,0.390625,0.0,100.0,0.00390625,0.99853515625,11.46875,0.0012827770973361516,True,0.021121358004165813
uniform,256,2,32,1.001,16,fp32,256,1,1,0,1,0.390625,0.390625,0.0,100.0,0.00390625,0.99853515625,11.46875,0.0012827770973361516,True,0.016861666983459145
uniform,256,2,32,1.001,1,fp32,256,1,1,0,1,0.390625,0.390625,0.0,100.0,0.00390625,0.99853515625,11.46875,0.0012827770973361516,True,0.024728625983698294
uniform,256,1,32,1.5,6,fp32,256,251,33,218,1267,98.046875,12.890625,85.15625,13.147410358565738,4.94921875,1.0,11.8125,0.0012812473830499064,True,0.033066803007386625
uniform,256,2,32,1.005,1,fp32,256,8,7,1,8,3.125,2.734375,0.390625,87.5,0.03125,0.99755859375,9.78125,0.00127553272226319,True,0.01853340500383638
uniform,256,1,32,1.5,8,fp32,256,250,41,209,1588,97.65625,16.015625,81.640625,16.4,6.203125,1.0,8.578125,0.0012644121130273875,True,0.03539073499268852
uniform,256,2,32,1.001,6,fp32,256,1,1,0,1,0.390625,0.390625,0.0,100.0,0.00390625,0.99853515625,11.46875,0.0012827770973361516,True,0.024795751000056043
uniform,256,2,32,1.001,8,fp32,256,1,1,0,1,0.390625,0.390625,0.0,100.0,0.00390625,0.99853515625,11.46875,0.0012827770973361516,True,0.024756111000897363
uniform,256,2,32,1.001,12,fp32,256,1,1,0,1,0.390625,0.390625,0.0,100.0,0.00390625,0.99853515625,11.46875,0.0012827770973361516,True,0.02453397901263088
uniform,256,2,32,1.005,6,fp32,256,9,9,0,10,3.515625,3.515625,0.0,100.0,0.0390625,0.9951171875,13.8828125,0.0012986895876998061,True,0.021029244002420455
uniform,256,2,32,1.005,4,fp32,256,9,9,0,10,3.515625,3.515625,0.0,100.0,0.0390625,0.9951171875,13.8828125,0.0012986895876998061,True,0.024850080983014777
uniform,256,2,32,1.005,2,fp32,256,9,9,0,10,3.515625,3.515625,0.0,100.0,0.0390625,0.9951171875,13.8828125,0.0012986895876998061,True,0.02620910300174728
uniform,256,2,32,1.01,2,fp32,256,18,17,1,21,7.03125,6.640625,0.390625,94.44444444444444,0.08203125,0.99951171875,11.7578125,0.0012890162690878308,True,0.014475470001343638
uniform,256,2,32,1.005,8,fp32,256,9,9,0,10,3.515625,3.515625,0.0,100.0,0.0390625,0.9951171875,13.8828125,0.0012986895876998061,True,0.02279838200774975
uniform,256,1,32,1.5,16,fp32,256,248,36,212,2790,96.875,14.0625,82.8125,14.516129032258064,10.8984375,0.99951171875,10.0859375,0.0012691973420015283,True,0.045778383006108925
uniform,256,2,32,1.005,12,fp32,256,9,9,0,10,3.515625,3.515625,0.0,100.0,0.0390625,0.9951171875,13.8828125,0.0012986895876998061,True,0.0214162910124287
uniform,256,2,32,1.01,1,fp32,256,27,23,4,26,10.546875,8.984375,1.5625,85.18518518518519,0.1015625,1.0,9.1640625,0.0012808972328211383,True,0.01979202698566951
uniform,256,2,32,1.01,12,fp32,256,18,17,1,31,7.03125,6.640625,0.390625,94.44444444444444,0.12109375,0.99951171875,11.7578125,0.0012890162690878308,True,0.0168506040063221
uniform,256,2,32,1.02,2,fp32,256,44,40,4,51,17.1875,15.625,1.5625,90.9090909090909,0.19921875,0.99951171875,9.4140625,0.0013072486546768694,True,0.014702992979437113
uniform,256,2,32,1.005,16,fp32,256,9,9,0,10,3.515625,3.515625,0.0,100.0,0.0390625,0.9951171875,13.8828125,0.0012986895876998061,True,0.026237875979859382
uniform,256,2,32,1.01,8,fp32,256,18,17,1,27,7.03125,6.640625,0.390625,94.44444444444444,0.10546875,0.99951171875,11.7578125,0.0012890162690878308,True,0.021985755010973662
uniform,256,2,32,1.01,4,fp32,256,18,17,1,23,7.03125,6.640625,0.390625,94.44444444444444,0.08984375,0.99951171875,11.7578125,0.0012890162690878308,True,0.02279278400237672
uniform,256,2,32,1.02,1,fp32,256,43,36,7,42,16.796875,14.0625,2.734375,83.72093023255815,0.1640625,0.99951171875,9.1953125,0.0013385881581256997,True,0.021608276991173625
uniform,256,2,32,1.01,6,fp32,256,18,17,1,25,7.03125,6.640625,0.390625,94.44444444444444,0.09765625,0.99951171875,11.7578125,0.0012890162690878308,True,0.025408104003872722
uniform,256,2,32,1.02,4,fp32,256,44,42,2,54,17.1875,16.40625,0.78125,95.45454545454545,0.2109375,0.99951171875,10.1796875,0.0012930472844620172,True,0.021595093014184386
uniform,256,2,32,1.01,16,fp32,256,18,17,1,35,7.03125,6.640625,0.390625,94.44444444444444,0.13671875,0.99951171875,11.7578125,0.0012890162690878308,True,0.02541175700025633
uniform,256,2,32,1.05,4,fp32,256,90,84,6,137,35.15625,32.8125,2.34375,93.33333333333333,0.53515625,0.99951171875,9.390625,0.0012700561673834655,True,0.016780183999799192
uniform,256,2,32,1.02,6,fp32,256,44,42,2,56,17.1875,16.40625,0.78125,95.45454545454545,0.21875,0.99951171875,10.1796875,0.0012930472844620172,True,0.025854828010778874
uniform,256,2,32,1.02,16,fp32,256,44,42,2,66,17.1875,16.40625,0.78125,95.45454545454545,0.2578125,0.99951171875,10.1796875,0.0012930472844620172,True,0.021779776987386867
uniform,256,2,32,1.02,8,fp32,256,44,42,2,58,17.1875,16.40625,0.78125,95.45454545454545,0.2265625,0.99951171875,10.1796875,0.0012930472844620172,True,0.026089342980412766
uniform,256,2,32,1.1,1,fp32,256,146,61,85,141,57.03125,23.828125,33.203125,41.78082191780822,0.55078125,0.99951171875,11.125,0.0012788522186183721,True,0.016254432004643604
uniform,256,2,32,1.02,12,fp32,256,44,42,2,62,17.1875,16.40625,0.78125,95.45454545454545,0.2421875,0.99951171875,10.1796875,0.0012930472844620172,True,0.02624339598696679
uniform,256,2,32,1.1,2,fp32,256,162,99,63,250,63.28125,38.671875,24.609375,61.111111111111114,0.9765625,0.99951171875,13.328125,0.0012470868216919663,True,0.016580192022956908
uniform,256,2,32,1.05,6,fp32,256,97,93,4,158,37.890625,36.328125,1.5625,95.87628865979381,0.6171875,0.99951171875,12.9921875,0.0012825124553098393,True,0.023487436003051698
uniform,256,2,32,1.05,16,fp32,256,97,93,4,168,37.890625,36.328125,1.5625,95.87628865979381,0.65625,0.99951171875,12.9921875,0.0012825124553098393,True,0.021165042999200523
uniform,256,2,32,1.05,2,fp32,256,93,76,17,127,36.328125,29.6875,6.640625,81.72043010752688,0.49609375,0.99951171875,9.921875,0.0012742864658420391,True,0.027474697009893134
uniform,256,2,32,1.05,8,fp32,256,97,93,4,160,37.890625,36.328125,1.5625,95.87628865979381,0.625,0.99951171875,12.9921875,0.0012825124553098393,True,0.023101514991139993
uniform,256,2,32,1.05,1,fp32,256,94,61,33,92,36.71875,23.828125,12.890625,64.8936170212766,0.359375,0.99951171875,9.3515625,0.0012856929771368905,True,0.029026139993220568
uniform,256,2,32,1.05,12,fp32,256,97,93,4,164,37.890625,36.328125,1.5625,95.87628865979381,0.640625,0.99951171875,12.9921875,0.0012825124553098393,True,0.023674865980865434
uniform,256,2,32,1.1,6,fp32,256,169,146,23,417,66.015625,57.03125,8.984375,86.3905325443787,1.62890625,0.99951171875,9.71875,0.0012055152737761744,True,0.026936601992929354
uniform,256,2,32,1.1,8,fp32,256,151,131,20,375,58.984375,51.171875,7.8125,86.75496688741723,1.46484375,0.99951171875,10.4140625,0.001234073905732904,True,0.026584086008369923
